Year,Primary Age,Partner Age,Investment Strategy,Primary Job Status,Partner Career Stage,Starting Net Worth,Ending Net Worth,Net Worth Increase,Economic Gross Income,Taxes,Federal Tax Estimate,State/Local Tax Estimate,Payroll Tax Estimate,Investment/Rental Tax Drag,High Income Surcharge,Total Taxes,Taxes Before Child Credits,Taxes After Child Credits,Qualifying Children for CTC,Child Tax Credit Estimate,Dependent Care Credit Estimate,Total Child Tax Benefits,Personal Spending,Additional Decision Spending,Additional Spending Breakdown,Primary Job Salary + Bonus,Primary Job Retirement Match,Primary Job Work Factor,Partner Income,Primary Social Security Income,Partner Social Security Income,Total Social Security Income,Child Spending,Core Child Spending,Daycare Spending,Childcare Mode,Daycare Utilization %,Partner Stay-Home Daycare Savings,Au Pair Cost,Daycare Cost Avoided by Au Pair,Net Au Pair vs Daycare Cost,Au Pair Capacity Warning,Children Under 5,Partner Income Impact,Net Household Impact,Number of Children at Home,Number of Children Under 5,Number of Children 18–22,Child / Education Support Spending,Primary Student Loan Balance,Partner Student Loan Balance,Student Loan Payments,Student Loan Interest,Student Loan Forgiveness,Total Student Loan Debt,Existing Rental Cash Flow,New Rental Cash Flow,Total Rental Cash Flow,Gross Rental Income,Existing Portfolio Modeled Cash Flow,Existing Portfolio Cashflow Target,Existing Portfolio Cashflow Difference,Existing Portfolio Property Tax,Existing Portfolio Insurance,Existing Portfolio Other Operating Costs,Existing Portfolio Financing Calibration,Property Management Fee,Vacancy Loss,Maintenance Reserve,Rental Operations Drag,Job Hours / Month,Rental Management Hours / Month,Rental Admin Hours / Month,Outsourced Hours / Month,New House Acquisition Hours / Month,Estimated Hourly Value of Time,Primary Job Hourly Income Proxy,Rental Hourly Value Proxy,House Value Increase,Property Value Shock,Principal Paydown,VOO / Market Gains,Stock Market Shock,Tax Refund / Other,Cash Sources Before Tax/Spend,Surplus Cash After Tax/Spend,Cash Reserve,Cash Reserve Target,Cash Reserve Contribution,Pending Rental Purchase Cash,Rental Purchase Cash Used,Rental Purchase Cash Carried Forward,Cash Drawdown,VOO Drawdown,Unfunded Shortfall / New Consumer Debt,Extra Real Estate Debt Paydown,Surplus to VOO,Surplus to New Rentals,New Rental Property Value Purchased,New Rental Debt Added,Implied New Houses Added,Cumulative New Houses Added,Estimated Rental Property Count,VOO / Investment Balance,Modeled Equity Investment Balance,S&P 500 / Index Fund Balance,Bond Balance,HYSA Cash Balance,Non-Interest Cash Balance,Retirement Account Balance,Other Assets,Total Asset Buckets,Total Debts,Net Worth From Buckets,Existing Real Estate Value,New Rental Real Estate Value,Total Real Estate Value,Existing Real Estate Debt,New Rental Debt,Total Real Estate Debt,Real Estate Equity,Other Net Assets,Balance Sheet Net Worth,Balance Sheet Reconciliation Difference,Historical Reconciliation / Residual,Rental LTV,Debt-to-Income Proxy,Refinance Event,Refinance Gross Cash-Out,Refinance Debt Added,Refinance Cost,Refinance Net Proceeds,Refinance Proceeds to Cash Reserve,Refinance Proceeds to Debt,Refinance Proceeds to VOO,Refinance Proceeds to Rentals,Refinance Interest Drag,Partial Sale Event,Partial Sale Costs,Partial Sale Net Proceeds to VOO,Liquidation Event,Liquidation Gross Equity,Liquidation Gross Proceeds,Liquidation Costs,Liquidation Net Proceeds to VOO,Life Load Hours / Month,Dollar Basis Factor
2026,35,34,VOO/S&P 500,Working,Partner career,157500.0,173361.2,15861.200000000012,126750.00000000001,31858.8,20016.0,3336.0,8506.8,0.0,0.0,31858.8,31858.8,31858.8,0.0,0.0,0.0,0.0,79030.0,0.0,,77000.0,3500.0,1.0,34200.0,0.0,0.0,0.0,0.0,0.0,0.0,Daycare / paid childcare,100.0,0.0,0.0,0.0,0.0,,0.0,0.0,34200.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.33333333333334,0.0,2.0,0.0,0.0,60.24239543726237,37.01923076923077,0.0,0.0,0.0,0.0,12050.0,0.0,0.0,111200.0,311.1999999999971,10811.199999999997,19757.5,311.1999999999971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136050.0,136050.0,47000.0,7500.0,7500.0,3000.0,73500.0,19000.0,157500.0,0.0,157500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26500.0,173361.2,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,0.0,175.33333333333334,1.0
2027,36,35,VOO/S&P 500,Working,Partner career,173361.2,190891.73599999998,17530.535999999964,131745.99999999997,32814.564,20616.48,3436.08,8762.003999999999,0.0,0.0,32814.564,32814.564,32814.564,0.0,0.0,0.0,0.0,81400.90000000001,1.4551915228366852e-11,,79310.0,3605.0,1.0,35226.0,0.0,0.0,0.0,0.0,0.0,0.0,Daycare / paid childcare,100.0,0.0,0.0,0.0,0.0,,0.0,0.0,35226.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.33333333333334,0.0,2.0,0.0,0.0,62.61692015209124,38.12980769230769,0.0,0.0,0.0,0.0,13605.0,0.0,0.0,114536.0,320.5359999999928,11131.73599999999,20350.225000000002,320.5359999999928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153260.0,153260.0,51700.00000000001,7725.0,7800.0,3000.0,80850.0,19000.0,157500.0,0.0,157500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26500.0,190891.73599999998,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,0.0,175.33333333333334,1.0
2028,37,36,VOO/S&P 500,Working,Partner career,190891.73599999998,210261.03807999997,19369.302079999994,137011.23,33799.00092,21234.9744,3539.1623999999997,9024.86412,0.0,0.0,33799.00092,33799.00092,33799.00092,0.0,0.0,0.0,0.0,83842.92700000001,1.4551915228366852e-11,,81689.3,3713.1499999999996,1.0,36282.78,0.0,0.0,0.0,0.0,0.0,0.0,Daycare / paid childcare,100.0,0.0,0.0,0.0,0.0,,0.0,0.0,36282.78,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.33333333333334,0.0,2.0,0.0,0.0,65.11940589353613,39.27370192307693,0.0,0.0,0.0,0.0,15326.0,0.0,0.0,117972.08,330.1520799999853,11461.888079999975,20960.731750000003,330.1520799999853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172299.15,172299.15,56870.00000000001,7956.75,8112.000000000001,3000.0,88935.00000000001,19000.0,157500.0,0.0,157500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26500.0,210261.03807999997,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,0.0,175.33333333333334,1.0
2029,38,37,VOO/S&P 500,Working,Partner career,210261.03807999997,231655.55422239995,21394.51614239998,142565.7019,34812.97094759999,21872.023631999997,3645.3372719999993,9295.6100436,0.0,0.0,34812.97094759999,34812.97094759999,34812.97094759999,0.0,0.0,0.0,0.0,86358.21481,0.0,,84139.97899999999,3824.5445,1.0,37371.2634,0.0,0.0,0.0,0.0,0.0,0.0,Daycare / paid childcare,100.0,0.0,0.0,0.0,0.0,,0.0,0.0,37371.2634,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.33333333333334,0.0,2.0,0.0,0.0,67.75936402091254,40.45191298076923,0.0,0.0,0.0,0.0,17229.915,0.0,0.0,121511.24239999999,340.0566423999844,11801.94472239996,21589.5537025,340.0566423999844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193353.6095,193353.6095,62557.00000000002,8195.4525,8436.480000000001,3000.0,97828.50000000003,19000.0,157500.0,0.0,157500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26500.0,231655.55422239995,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,0.0,175.33333333333334,1.0
2030,39,38,VOO/S&P 500,Working,Partner career,231655.55422239995,255280.45434907195,23624.900126672,148431.22145700004,35857.36007602801,22528.184340960004,3754.6973901600004,9574.478344908002,0.0,0.0,35857.36007602801,35857.36007602801,35857.36007602801,0.0,0.0,0.0,0.0,88948.96125430003,1.4551915228366852e-11,,86664.17837000001,3939.2808350000005,1.0,38492.401302000006,0.0,0.0,0.0,0.0,0.0,0.0,Daycare / paid childcare,100.0,0.0,0.0,0.0,0.0,,0.0,0.0,38492.401302000006,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.33333333333334,0.0,2.0,0.0,0.0,70.54715848716732,41.66547037019231,0.0,0.0,0.0,0.0,19335.36095,0.0,0.0,125156.57967200002,350.2583416719863,12152.203064071946,22237.240313575006,350.2583416719863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216628.251285,216628.251285,68812.70000000001,8441.316075,8773.9392,3000.0,107611.35000000003,19000.0,157500.0,0.0,157500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26500.0,255280.45434907195,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,0.0,175.33333333333334,1.0
2031,40,39,VOO/S&P 500,Working,Partner career,255280.45434907195,281361.5048295441,26081.050480472157,154631.56145071003,36933.080878308836,23204.0298711888,3867.3383118648,9861.712695255239,0.0,0.0,36933.080878308836,36933.080878308836,36933.080878308836,0.0,0.0,0.0,0.0,91617.43009192903,2.9103830456733704e-11,,89264.1037211,4057.45926005,1.0,39647.17334106,0.0,0.0,0.0,0.0,0.0,0.0,Daycare / paid childcare,100.0,0.0,0.0,0.0,0.0,,0.0,0.0,39647.17334106,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.33333333333334,0.0,2.0,0.0,0.0,73.49408814197244,42.91543448129807,0.0,0.0,0.0,0.0,21662.8251285,0.0,0.0,128911.27706215999,360.76609192212345,12512.96915599407,22904.357522982256,360.76609192212345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242348.53567355,242348.53567355,75693.97000000003,8694.55555725,9124.896768,3000.0,118372.48500000004,19000.0,157500.0,0.0,157500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26500.0,281361.5048295441,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,0.0,175.33333333333334,1.0
2032,41,40,VOO/S&P 500,Working,Partner career,281361.5048295441,310147.1305094304,28785.625679886318,161192.6519792313,38041.07330465811,23900.150767324467,3983.358461220744,10157.564076112898,0.0,0.0,38041.07330465811,38041.07330465811,38041.07330465811,0.0,0.0,0.0,0.0,94365.95299468687,0.0,,91942.02683273301,4179.183037851501,1.0,40836.58854129181,0.0,0.0,0.0,0.0,0.0,0.0,Daycare / paid childcare,100.0,0.0,0.0,0.0,0.0,,0.0,0.0,40836.58854129181,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.33333333333334,0.0,2.0,0.0,0.0,76.61247717644073,44.20289751573703,0.0,0.0,0.0,0.0,24234.853567355003,0.0,0.0,132778.6153740248,371.589074679825,12884.558230673894,23591.488248671718,371.589074679825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270762.57227875653,270762.57227875653,83263.36700000004,8955.392223967501,9489.892638720003,3000.0,130209.73350000006,19000.0,157500.0,0.0,157500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26500.0,310147.1305094304,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,0.0,175.33333333333334,1.0
2033,42,41,VOO/S&P 500,Working,Partner career,310147.1305094304,341910.68301321333,31763.552503782907,168142.78959210828,39182.30550379785,24617.1552903442,4102.859215057367,10462.290998396285,0.0,0.0,39182.30550379785,39182.30550379785,39182.30550379785,0.0,0.0,0.0,0.0,97196.93158452751,1.4551915228366852e-11,,94700.287637715,4304.558528987046,1.0,42061.68619753056,0.0,0.0,0.0,0.0,0.0,0.0,Daycare / paid childcare,100.0,0.0,0.0,0.0,0.0,,0.0,0.0,42061.68619753056,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.33333333333334,0.0,2.0,0.0,0.0,79.915774520964,45.52898444120913,0.0,0.0,0.0,0.0,27076.257227875656,0.0,0.0,136761.97383524556,382.7367469201854,13267.29497759408,24299.232896131878,382.7367469201854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302143.3880356192,302143.3880356192,91589.70370000006,9224.053990686527,9869.488344268802,3000.0,143230.70685000008,19000.0,157500.0,0.0,157500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26500.0,341910.68301321333,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,0.0,175.33333333333334,1.0
2034,43,42,VOO/S&P 500,Working,Partner career,341910.68301321333,376952.9359509597,35042.25293774635,175512.86713872149,40357.774668911785,25355.669949054525,4225.944991509088,10776.159728348173,0.0,0.0,40357.774668911785,40357.774668911785,40357.774668911785,0.0,0.0,0.0,0.0,100112.83953206334,2.9103830456733704e-11,,97541.29626684646,4433.695284856657,1.0,43323.53678345648,0.0,0.0,0.0,0.0,0.0,0.0,Daycare / paid childcare,100.0,0.0,0.0,0.0,0.0,,0.0,0.0,43323.53678345648,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.33333333333334,0.0,2.0,0.0,0.0,83.41866308874596,46.89485397444541,0.0,0.0,0.0,0.0,30214.338803561925,0.0,0.0,140864.83305030293,394.2188493277936,13661.513826921873,25028.209883015836,394.2188493277936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336791.4221240378,336791.4221240378,100748.67407000007,9500.775610407123,10264.267878039554,3000.0,157553.77753500012,19000.0,157500.0,0.0,157500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26500.0,376952.9359509597,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,0.0,175.33333333333334,1.0
2035,44,43,VOO/S&P 500,Working,Partner career,376952.9359509597,415604.8297215735,38651.893770613824,183336.6263976182,41568.50790897914,26116.340047526166,4352.723341254361,11099.44452019862,0.0,0.0,41568.50790897914,41568.50790897914,41568.50790897914,0.0,0.0,0.0,0.0,103116.22471802523,0.0,,100467.53515485185,4566.706143402357,1.0,44623.24288696018,0.0,0.0,0.0,0.0,0.0,0.0,Daycare / paid childcare,100.0,0.0,0.0,0.0,0.0,,0.0,0.0,44623.24288696018,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.33333333333334,0.0,2.0,0.0,0.0,87.13717984677672,48.30169959367878,0.0,0.0,0.0,0.0,33679.142212403785,0.0,0.0,145090.77804181204,406.0454148076533,14067.559241729527,25779.05617950631,406.0454148076533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375037.27047984395,375037.27047984395,110823.5414770001,9785.798878719337,10674.838593161137,3000.0,173309.15528850013,19000.0,157500.0,0.0,157500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26500.0,415604.8297215735,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,0.0,175.33333333333334,1.0
2036,45,44,VOO/S&P 500,Working,Partner career,415604.8297215735,458230.4908745142,42625.66115294071,191650.9357587552,42815.56314624852,26899.83024895195,4483.305041491992,11432.427855804577,0.0,0.0,42815.56314624852,42815.56314624852,42815.56314624852,0.0,0.0,0.0,0.0,106209.71145956598,0.0,,103481.5612094974,4703.707327704427,1.0,45961.94017356898,0.0,0.0,0.0,0.0,0.0,0.0,Daycare / paid childcare,100.0,0.0,0.0,0.0,0.0,,0.0,0.0,45961.94017356898,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.33333333333334,0.0,2.0,0.0,0.0,91.08884779408517,49.750750581489136,0.0,0.0,0.0,0.0,37503.727047984394,0.0,0.0,149443.50138306638,418.22677725189715,14485.786018981424,26552.427864891495,418.22677725189715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417244.7048555328,417244.7048555328,121905.8956247001,10079.372845080916,11101.832136887582,3000.0,190640.07081735018,19000.0,157500.0,0.0,157500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26500.0,458230.4908745142,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,0.0,175.33333333333334,1.0
2037,46,45,VOO/S&P 500,Working,Partner career,458230.4908745142,505230.5534881725,47000.06261365826,200496.09545764723,44100.03004063598,27706.82515642051,4617.804192736751,11775.400691478717,0.0,0.0,44100.03004063598,44100.03004063598,44100.03004063598,0.0,0.0,0.0,0.0,109396.00280335297,1.4551915228366852e-11,,106586.00804578234,4844.81854753556,1.0,47340.79837877605,0.0,0.0,0.0,0.0,0.0,0.0,Daycare / paid childcare,100.0,0.0,0.0,0.0,0.0,,0.0,0.0,47340.79837877605,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.33333333333334,0.0,2.0,0.0,0.0,95.29282103500344,51.24327309893381,0.0,0.0,0.0,0.0,41724.470485553284,0.0,0.0,153926.8064245584,430.77358056945377,14916.559599550877,27349.000700838245,430.77358056945377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463813.9938886216,463813.9938886216,134096.48518717012,10381.754030433345,11545.905422363086,3000.0,209704.07789908518,19000.0,157500.0,0.0,157500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26500.0,505230.5534881725,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,0.0,175.33333333333334,1.0
2038,47,46,VOO/S&P 500,Working,Partner career,505230.5534881725,557045.8127689828,51815.259280810365,209916.17311011895,45423.03094185506,28538.029911113124,4756.338318518854,12128.662712223078,0.0,0.0,45423.03094185506,45423.03094185506,45423.03094185506,0.0,0.0,0.0,0.0,112677.88288745354,0.0,,109783.5882871558,4990.163103961628,1.0,48761.022330139334,0.0,0.0,0.0,0.0,0.0,0.0,Daycare / paid childcare,100.0,0.0,0.0,0.0,0.0,,0.0,0.0,48761.022330139334,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.33333333333334,0.0,2.0,0.0,0.0,99.77004425385881,52.78057129190183,0.0,0.0,0.0,0.0,46381.39938886216,0.0,0.0,158544.61061729514,443.69678798655514,15360.256387537433,28169.470721863385,443.69678798655514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515185.55638144544,515185.55638144544,147506.13370588716,10693.206651346345,12007.74163925761,3000.0,230674.48568899374,19000.0,157500.0,0.0,157500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26500.0,557045.8127689828,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,0.0,175.33333333333334,1.0
